=== LEFT SERVO ===

Table Entries = 88
Zero Speed Index = 46

Index   Servo Drive     Encoder Ticks/Second
-----   -----------     --------------------
0       -194            1000
1       -189            198
2       -184            202
3       -179            202
4       -174            201
5       -169            200
6       -164            203
7       -159            201
8       -154            199
9       -149            200
10      -144            199
11      -139            199
12      -134            199
13      -129            199
14      -124            199
15      -119            199
16      -114            192
17      -109            192
18      -104            192
19      -99             192
20      -94             186
21      -89             192
22      -84             181
23      -79             172
24      -74             167
25      -69             157
26      -64             154
27      -59             141
28      -54             140
29      -49             127
30      -44             123
31      -39             112
32      -34             97
33      -29             92
34      -24             86
35      -19             73
36      -14             66
37      -9              56
38      -4              47
39      1               38
40      6               28
41      11              18
42      13              14
43      15              10
44      17              7
45      19              5
46      24              0
47      29              6
48      31              9
49      33              13
50      35              19
51      37              22
52      42              32
53      47              42
54      52              54
55      57              57
56      62              65
57      67              74
58      72              81
59      77              95
60      82              102
61      87              111
62      92              122
63      97              127
64      102             136
65      107             144
66      112             149
67      117             156
68      122             161
69      127             164
70      132             167
71      137             169
72      142             173
73      147             179
74      152             180
75      157             183
76      162             185
77      167             185
78      172             189
79      177             189
80      182             191
81      187             191
82      192             191
83      197             196
84      202             200
85      192             191
86      197             196
87      202             1000


=== RIGHT SERVO ===

Table Entries = 88
Zero Speed Index = 34

Index   Servo Drive     Encoder Ticks/Second
-----   -----------     --------------------
0       -195            1000
1       -190            186
2       -185            188
3       -180            178
4       -175            182
5       -170            180
6       -165            178
7       -160            176
8       -155            169
9       -150            170
10      -145            165
11      -140            169
12      -135            162
13      -130            155
14      -125            153
15      -120            149
16      -115            146
17      -110            136
18      -105            128
19      -100            117
20      -95             110
21      -90             103
22      -85             94
23      -80             80
24      -75             75
25      -70             68
26      -65             59
27      -60             46
28      -55             38
29      -50             32
30      -45             20
31      -40             11
32      -38             7
33      -36             5
34      -30             0
35      -24             3
36      -22             10
37      -20             14
38      -18             18
39      -16             21
40      -11             31
41      -6              41
42      -1              49
43      4               59
44      9               67
45      14              77
46      19              85
47      24              94
48      29              103
49      34              112
50      39              119
51      44              132
52      49              133
53      54              141
54      59              142
55      64              156
56      69              156
57      74              167
58      79              165
59      84              174
60      89              176
61      94              174
62      99              184
63      104             180
64      109             184
65      114             190
66      119             188
67      124             190
68      129             190
69      134             193
70      139             190
71      144             193
72      149             193
73      154             193
74      159             193
75      164             188
76      169             195
77      174             195
78      179             190
79      184             195
80      189             192
81      194             192
82      199             192
83      204             195
84      189             192
85      194             192
86      199             192
87      204             1000
